run_id,sim_framework,scene,step_hz,rtf_mean,mean_cpu_pct,mean_gpu_pct,policy_inference_ms,episode_success_rate,episode_count,collision_rate_pct
R1,IsaacSim,cluttered_kitchen,120,0.42,31.4,68.2,4.7,0.71,60,1.9
R2,IsaacSim,door_navigation,60,0.65,35.9,72.4,5.1,0.66,52,2.6
R3,IsaacSim,multi_arm_handoff,120,0.38,40.2,74.9,6.4,0.53,40,4.8
R4,IsaacSim,warehouse_sort,30,0.94,29.1,61.2,3.9,0.79,60,1.1
R5,IsaacSim,warehouse_sort,120,0.55,38.8,76.0,5.3,0.74,58,3.2
R6,Gazebo_MultiRobot,door_navigation,240,1.35,45.3,54.8,7.8,0.69,48,2.9
R7,Gazebo_MultiRobot,cluttered_kitchen,120,0.98,39.7,60.1,6.9,0.63,48,3.5
R8,Gazebo_MultiRobot,warehouse_sort,300,1.72,49.8,58.7,8.8,0.55,40,4.4
R9,Mujoco,manipulation_pickplace,300,2.12,28.4,32.1,2.4,0.84,70,0.9
R10,Mujoco,manipulation_pickplace,120,1.95,34.7,39.8,2.7,0.81,68,1.3
R11,Mujoco,multi_robot_handoff,240,2.01,36.0,44.2,3.6,0.70,64,2.7
R12,Mujoco,manipulation_vision,180,1.88,30.1,35.6,3.1,0.76,66,1.8
